CTID,species,tissue_class,tissue_type,uberonongology_id,cancer_type,major_cell_type,cell_name,cellontology_id,marker,Symbol,GeneID,Genetype,Genename,UNIPROTID,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence,curator
CT047,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,GREM1+ and MMP3+ CAFs,,,,,,,,34450029,Spatially organized multicellular immune hubs in human colorectal cancer,Cell,2021,single cell transcriptome,10× Genomics,Biological phenotype,cell-cell communication,cell line,RNA-seq,Illumina NextSeq500,RNA,"To understand the communication pathways driving these malignant/immune/stroma cell interactions, we examined all chemokines and cytokines found within the top genes of the inflammatory and co-varying neutrophil programs (Figure 6D). This analysis suggested concerted attraction of CXCR1/2+ neutrophils by malignant cells, GREM1+ and MMP3+ CAFs, monocytes, and neutrophils expressing cognate chemokines (CXCL1/2/3/5/6/8) (Figure 6E). The same chemokines were upregulated in CRC-derived fibroblasts and CRC malignant cells when stimulated in vitro with cytokines found in the hub 3 inflammatory monocyte and neutrophil programs, such as IL1B (Figure 6F). ",Zhihong Lin
CT048,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer cell,CRC malignant cells,,,,,,,,34450029,Spatially organized multicellular immune hubs in human colorectal cancer,Cell,2021,single cell transcriptome,10× Genomics,Biological phenotype,cell-cell communication,cell line,RNA-seq,Illumina NextSeq500,RNA,"To understand the communication pathways driving these malignant/immune/stroma cell interactions, we examined all chemokines and cytokines found within the top genes of the inflammatory and co-varying neutrophil programs (Figure 6D). This analysis suggested concerted attraction of CXCR1/2+ neutrophils by malignant cells, GREM1+ and MMP3+ CAFs, monocytes, and neutrophils expressing cognate chemokines (CXCL1/2/3/5/6/8) (Figure 6E). The same chemokines were upregulated in CRC-derived fibroblasts and CRC malignant cells when stimulated in vitro with cytokines found in the hub 3 inflammatory monocyte and neutrophil programs, such as IL1B (Figure 6F). ",Zhihong Lin
CT049,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,Cancer-associated fibroblast,,,"ACTA2, FAP, PDGFRB, PDPN, PDGFRA, FOXF1",,,,,34670584,Integrated single-cell and bulk RNA sequencing analysis identifies a cancer associated fibroblast-related signature for predicting prognosis and therapeutic responses in colorectal cancer,Cancer cell international,2021,single cell transcriptome,,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,high CAF risk group had significantly unfavorable survival outcomes compared with the low CAF risk group…...higher CAF risk group patients also revealed worse OS than lower CAF risk group in TCGA validation,Zhihong Lin
CT050,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,Cancer-associated fibroblast,,,"ACTA2, FAP, PDGFRB, PDPN, PDGFRA, FOXF1",,,,,34670584,Integrated single-cell and bulk RNA sequencing analysis identifies a cancer associated fibroblast-related signature for predicting prognosis and therapeutic responses in colorectal cancer,Cancer cell international,2021,single cell transcriptome,,Clinical phenotype, increased chemotherapy sensitivity,clinical samples,DSC cancer cell line database,analysis,clinical data,"Based on the GDSC cancer cell line database, we found that higher CAF risk score increased the sensitivity of 6 types of anticancer drugs......These results implied that while high CAF score was correlated with increased chemotherapy sensitivity, immunotherapy might be more effective in low CAF score CRC patients.",Zhihong Lin
CT051,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,Cancer-associated fibroblast,,,"ACTA2, FAP, PDGFRB, PDPN, PDGFRA, FOXF1",,,,,34670584,Integrated single-cell and bulk RNA sequencing analysis identifies a cancer associated fibroblast-related signature for predicting prognosis and therapeutic responses in colorectal cancer,Cancer cell international,2021,single cell transcriptome,,Clinical phenotype,decreased immunotherapy sensitivity,clinical samples,DSC cancer cell line database,analysis,clinical data,"Based on the GDSC cancer cell line database, we found that higher CAF risk score increased the sensitivity of 6 types of anticancer drugs......These results implied that while high CAF score was correlated with increased chemotherapy sensitivity, immunotherapy might be more effective in low CAF score CRC patients.",Zhihong Lin
CT052,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Erythrocyte,erythrocyte(C4),,,"OLFM4, HIST1H4C, TUBA1B, H2AFZ, TUBB4B",,,,,36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival ",Zhihong Lin
CT053,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Monocyte,CD14 + CD16- monocyte(C11),,,"JCHAIN, IGHA1, IGKC, IGLC2, IGLC3",,,,,36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival ",Zhihong Lin
CT054,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Monocyte,CD14 + CD16- monocyte(C13),,,"AQP8, SLC26A3, CLCA4, FABP1",,,,,36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival ",Zhihong Lin
CT055,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Monocyte,CD14 + CD16 + monocyte(C5),,,"S100A9, S100A8, LYZ, CXCL8, AIF1",,,,,36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival ",Zhihong Lin
CT056,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblast,Fibroblast(C14),,,"CFD, DCN, MGP, IGFBP6, COL1A2",,,,,36117173,Single-cell and WGCNA uncover a prognostic model and potential oncogenes in colorectal cancer,Biological procedures online,2022,single cell transcriptome, GEO Database,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Meanwhile, the results of survival analysis showed that high abundances of C4, C11 and C13 and low abundances of C5 and C14 were associated with better survival ",Zhihong Lin
CT057,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer cell,EMP1+ cell,,,EMP1,,,,,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,Clinical phenotype,recurrence,clinical samples,relapse-free survival analysis,analysis,clinical data," EpiHR expression levels predicted recurrence with an accuracy equivalent to the subset of TME poor-prognosis genes (Fig. 1e: Kaplan–Meier survival curves showing relapse-free survival. Statistical analysis was performed using a two-sided Wald test. High (H), medium (M) and low (L) expression levels of All-HR, TME-HR and EpiHR gene signatures; LRT, likelihood-ratio test.)",Zhihong Lin
CT058,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer cell,EMP1+ cell,,,EMP1,,,,,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,Clinical phenotype,recurrence,mouse,cell-ablation experiments,MedChem Express,,"Using Emp1 (encoding epithelial membrane protein 1) as a marker gene for HRCs, we tracked and selectively eliminated this cell population. Genetic ablation of EMP1high cells prevented metastatic recurrence and mice remained disease-free after surgery. ",Zhihong Lin
CT059,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer cell,EMP1+ cell,,,EMP1,,,,,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,Clinical phenotype,invasion,mouse,immunofluorescence,Abcam,protein,"Inspection of tissue sections evidenced that cancer cells invading the muscular layer were strongly labelled by the fluorescent reporter (Fig. 3e). In particular, isolated tumour buds and larger clusters in contact with the stroma at the edges on invasion fronts exhibited the highest TOM expression",Zhihong Lin
CT060,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer cell,EMP1+ cell,,,EMP1,,,,,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,Clinical phenotype,haematogenous or lymphatic dissemination,mouse,immunofluorescence,Abcam,protein," EMP1–TOMhigh cell clusters were often found in proximity to peripheral blood vessels in mouse primary CRCs, suggesting a connection with haematogenous or lymphatic dissemination",Zhihong Lin
CT061,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer cell,EMP1+ cell,,,EMP1,,,,,36352230,Metastatic recurrence in colorectal cancer arises from residual EMP1+ cells,Nature,2022,single cell transcriptome,Smart-seq2,Biological phenotype,at tumour invasion fronts,clinical samples,RNA fluorescence in situ hybridization,Bio-Techne，R&D Systems,spatial," RNA fluorescence in situ hybridization (FISH) analysis in human samples of patients with CRC also showed that EMP1 expression was elevated at tumour invasion fronts, whereas LGR5 marked the tumour cores in most cases ",Zhihong Lin
CT062,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Lymphoid cells,ctILC2,,,"GATA3, RORA, ZBTB16, IL1RL1, IL17RB",,,,,34467243,Single-cell transcriptomic landscape reveals tumor specific innate lymphoid cells associated with colorectal cancer progression,Cell reports. Medicine,2021,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Higher levels of expression of the ILC2-activating cytokine IL33 in tumors were correlated with longer survival in CRC patients from The Cancer Genome Atlas (TCGA) dataset, suggesting that ctILC2 might be indicative of a good prognosis in CRC patients",Zhihong Lin
CT063,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Lymphoid cells,ILC1,,,"CD3D, CD3G, CD3E, IKZF3, BCL11B, PRDM1, ID3",,,,,34467243,Single-cell transcriptomic landscape reveals tumor specific innate lymphoid cells associated with colorectal cancer progression,Cell reports. Medicine,2021,single cell transcriptome,10× Genomics,Biological phenotype,expansion,clinical samples,flow cytometry,,protein,"We confirmed, using flow cytometry, the expansion of the ILC1 subset accompanied by reduction of the ILC3 subset in tumor tissues from CRC patients relative to adjacent normal mucosa (Figures 5A and 5B). ",Zhihong Lin
CT064,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Lymphoid cells,ILC3,,," KIT, CXCL8, IL4I1, IL1R1",,,,,34467243,Single-cell transcriptomic landscape reveals tumor specific innate lymphoid cells associated with colorectal cancer progression,Cell reports. Medicine,2021,single cell transcriptome,10× Genomics,Biological phenotype,reduction,clinical samples,flow cytometry,,protein,"We confirmed, using flow cytometry, the expansion of the ILC1 subset accompanied by reduction of the ILC3 subset in tumor tissues from CRC patients relative to adjacent normal mucosa (Figures 5A and 5B). ",Zhihong Lin
CT065,Human,Stomach,Stomach,,Gastric Carcinoma,Epithelial cell,malignant epithelial cells,,,"CAPN8, CLDN4, CYP3A5, PHGR1, PLEC",,,,,9407012,Single-Cell and Bulk RNA Sequencing Reveal Malignant Epithelial Cell Heterogeneity and Prognosis Signatures in Gastric Carcinoma,Cells,2022,single cell transcriptome,,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,The ROC curve showed that the ten prognostic signatures performed well in predicting the OS of GC patients with an area under the ROC curve > 0.7 in the training cohort and around 0.6 in the test cohort,Zhihong Lin
CT066,Human,Skin,Skin,,Melanoma,Cancer cell, MITF-high cancer cell,,,"MITF, SOX10",,,,,28855355,MITF-High and MITF-Low Cells and a Novel Subpopulation Expressing Genes of Both Cell States Contribute to Intra- and Intertumoral Heterogeneity of Primary Melanoma,Clinical cancer research,2017,single cell transcriptome,Fluidigm,Clinical phenotype,existence,clinical samples,RNAscope,Advanced Cell Diagnostics,RNA,A second important finding of this study is that primary tumors comprise subpopulations of cells simultaneously expressing genes of the MITF-high and MITF-low signatures,Zhihong Lin
CT067,Human,Skin,Skin,,Melanoma,Cancer cell, MITF-low cancer cell,,,"BIRC3, SOX9 ",,,,,28855355,MITF-High and MITF-Low Cells and a Novel Subpopulation Expressing Genes of Both Cell States Contribute to Intra- and Intertumoral Heterogeneity of Primary Melanoma,Clinical cancer research,2017,single cell transcriptome,Fluidigm,Clinical phenotype,existence,clinical samples,RNAscope,Advanced Cell Diagnostics,RNA,A second important finding of this study is that primary tumors comprise subpopulations of cells simultaneously expressing genes of the MITF-high and MITF-low signatures,Zhihong Lin
CT068,Human,Skin,Skin,,Melanoma,Macrophages,TREM2(hi) macrophages,,,"MARCO, MERTK, TREM2",,,,,33033253,A gene expression signature of TREM2hi macrophages and γδ T cells predicts immunotherapy response,Nature communications,2020,single cell transcriptome,,Clinical phenotype,ICT resistance,clinical samples,ICT responsiveness signature analysis,analysis,clinical data," However, cluster 12 macrophages were 15.1-fold higher in NR (4.88%) versus R (0.32%). This enrichment of cluster 12 in non-responders suggests that it may be associated with ICT resistance. ",Zhihong Lin
CT069,Human,Skin,Skin,,Melanoma,T cell,γδ T cells,,,"CD3, RRM2, BIRC5, SPC24, UBE2C, CDCA5",,,,,33033253,A gene expression signature of TREM2hi macrophages and γδ T cells predicts immunotherapy response,Nature communications,2020,single cell transcriptome,,Clinical phenotype,ICT resistance,clinical samples,ICT responsiveness signature analysis,analysis,clinical data," a rare type of γδ T cells (cluster 21, n = 146) was 12.1-fold higher in the NR group (1.31% versus 0.11% in R; Fig. 1 and Supplementary Table 1). This fold-difference is the second largest of all 23 clusters. These findings suggest that the cluster 21 γδ T cells (named as Tgd_c21) may contribute to ICT resistance.",Zhihong Lin
